id,name,genre,bio,photo_url,spotify_url,apple_music_url,youtube_url,instagram_url,featured,show_id
1,Damien Edu,Afro pop,"Hello","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM6T9ORP9PIqjkrZkggC-YrlR93L3EleYVXET4lOsB8TckWakPZk24LADzh73cFJN-AXSF2hnCsMmoV2pV9unftdbcZfvGva6wxgCFYW92&s=10","https://open.spotify.com/artist/0FARDKvRkS7ZB2PJRC2WWO?autoplay=true","","https://www.youtube.com/channel/UCpjusKIBjJL6f64sQcJOIvQ?feature=gws_kp_artist&feature=gws_kp_artist","https://www.instagram.com/damiannedu/?hl=en",TRUE,1
2,Caleb Clay,Rap,"Hello","https://www.google.com/imgres?q=caleb%20clay&imgurl=https%3A%2F%2Flookaside.instagram.com%2Fseo%2Fgoogle_widget%2Fcrawler%2F%3Fmedia_id%3D3287258955362914435&imgrefurl=https%3A%2F%2Fwww.instagram.com%2Fp%2FC2esJxCozPP%2F&docid=LuSMzfjmCuVRKM&tbnid=goKqO14FtqzBEM&vet=12ahUKEwis9rW4leaWAxVYWkEAHRECBjMQnPAOegQISRAA..i&w=1440&h=1800&hcb=2&itg=1&ved=2ahUKEwi9rW4leaWAxVYWkEAHRECBjMQnPAOegQISRAA","https://open.spotify.com/artist/7nYMySRZoIDziBAJ6KZ3Bl","","https://open.spotify.com/artist/7nYMySRZoIDziBAJ6KZ3Bl","https://www.instagram.com/crazycalebclay/",TRUE,1
3,Jamz FR,Afro pop,"Hello","https://www.google.com/imgres?q=Jamz%20FR%20youtube&imgurl=https%3A%2F%2Fi.scdn.co%2Fimage%2Fab6761610000e5eb70bc450a95e5b6947de2a1d5&imgrefurl=https%3A%2F%2Fopen.spotify.com%2Fartist%2F0ogU1vFCg3izozUsK7ij5q&docid=oomXjjHZc0V2mM&tbnid=PNrAWClgWeKNAM&vet=12ahUKEwjvpNDrleaWAxVsWkEAHdTZFksQnPAOegQIRxAA..i&w=535&h=640&hcb=2&ved=2ahUKEwjvpNDrleaWAxVsWkEAHdTZFksQnPAOegQIRxAA","https://open.spotify.com/artist/0ogU1vFCg3izozUsK7ij5q","","https://www.youtube.com/@Jamz_fr","https://www.instagram.com/jamz.fr/?hl=en",TRUE,1
4,Brum3h,Afro pop,"Hello","https://soundcloud.com/brum3h","https://open.spotify.com/artist/5kseDibp36pgGjEoOFsRFk","","https://www.youtube.com/@brum3h","https://www.instagram.com/brum3h/",TRUE,1
